abate	누그러지다, 약해지다, 감소하다
jeopardize	위태룁게 하다, 위험에 빠뜨리다
lag	뒤쳐지다, 뒤떨어지다
largely	주로, 대부분
lately	최근에
lax	(행동 등이) 규율에 못 미치는, 느슨한
lead	이끌다, 지휘하다;(어떤결과에)이르다
legislation	법률, 법규
legitimate	합법적인, 적법한
lend	빌려주다
less	보다 적은, 덜한
likely	~할 것 같은
litigation	소송, 기소
live	생방송인
local	지방의, 고장의
majority	대부분, 대다수
make sure	확인하다
malign	~을 헐뜯다, 중상하다
manage	~을 경영하다; 그럭저럭 ~ 하다
managerial	관리의
marginal	약간의
mastermind	입안자, 지도자
match	~에 어울리다, 조화되다
matinee	낮 공연
matter	문제
means	방법, 수단
meet	만족시키다
memoirs	회고록, 자서전
memorandum	회람
merchandise	상품
method	방법, 방식
minimum	최소한도
modestly	겸손하게
momentum	추진력,탄성
monopoly	전매, 독점
mounting	증가하는, 오르는
municipal	시의, 지방자치의
must-see	꼭 봐야 하는 것
necessarily	반드시
need	필요; 욕구, 요구; ~할 필요가 있다
neutrality	중립성, 중립
note	주목하다
notice	통지
notify	~에게 통지하다, 알리다
observance	준수
occasionally	때때로, 가끔
occupation	직업
offer	제공하다, 제공
officially	공식적으로
on one's own	혼자서, 혼자 힘으로
opening	공석, 결원; 개시, 개장
otherwise	달리, 다른방법으로; 그렇지 않다면
out of print	절판되어
outstanding	우수한; 미결제된
overall	전반적인, 총체적인
oversee	감독하다
paycheck	급료, 급료 지불 수표
payroll	임금대장, 급료 명부
pension	연금
perception	인식, 지각
periodical	정기 간행물
persistent	끊임없는, 계속되는
personnel	직원
petition	진정서, 탄원서
policy	규정; 보험증권
popular	인기있는
present	제시하다
price	가격
privilege	특원, 특전
probable	유망한, 가망성 있는
probationary	견습중의, 가채용의
procedure	절차
procrastinate	꾸물거리다
professional	직업의, 전문적인
proficiency	숙달, 능숙
prohibit	금지하다
promising	유망한, 전망이 좋은
promptly	즉시; 정각에
proprietor	소유자
prosecute	기소하다
prospect	전망, 예상
prospective	장례의, 미래의
prosperity	번영
publication	간행물, 출판물
purchase	구매하다, 구매
qualified	자격 있는, 적격의
quarterly	한 해 네 번의
raise	올리다, 높이다; 의문을 제기하다
randomly	임의로, 무작위로
rapidly	급속히, 빨리
ratio	비율
readily	즉시, 손쉽게
realistically	현실적으로
receipt	영수증
recruit	모집하다
redeemable	상황할 수 있는, 되찾을 수 있는
reference	추천서, 참고
reflective	반영하는
refrain	자제하다, 삼가다
refund	환불, 환불금
regardless of	~에 관계없이
regulation	규정; 보험증권
relatively	상대적으로
release	공개하다, 발표하다
remain	여전히 ~한 상태이다; 아직 ~해야한다
remainder	나머지
remind	~에게 상기시키다, 일깨우다
repeatedly	거듭, 되풀이하여
request	요청, 요청하다
requirement	필요조건
respectful	정중한, 존중하는
respective	각각의, 저마다의
respondent	응답자
responsible	책임이 있는, 책임져야 할
restrict	제한하다, 한정하다
resume	이력서
revision	수정, 개정
routinely	정기적으로, 일상적으로
rush	서두르다
scent	향기, 냄새
seasonal	계절의, 계절적인
segment	부분, 조각
severely	심하게, 엄격하게
showing	상영
sign out	서명하여 외출을 기록하다
skyrocket	(가격 등이)치솟다
slowdown	경기후퇴
soar	(물가 등이) 폭등하다, 높이 치솟다
sophisticated	정교한, 복잡한; 세련된
speak	이야기하다
stagnant	침체된, 불경기의
standard	기준, 표준
strategy	전략
sturdy	튼튼한
submit	제출하다
subordinate	부하직원, 하급자
subscription	구독
subsequent	그 이후의
subsidiary	자회사
supervision	감독
supplement	보완하다, 보충하다
survey	설문조사
take on	(역할, 일을)떠맡다
tax	세금
thoroughly	철저하게
thrifty	검소한, 검약하는
thrive	번영하다, 성공하다
timely	시기적절한, 때를 맞춘
tool	도구
transferable	양도할수있는
transform	바꾸다, 변모시키다
translation	번역
trigger	야기하다, 유발하다
undertake	떠맡다
unstable	불안정한, 변하기 쉬운
upcoming	다가오는, 앞으로 올
valid	유효한
value	가치;가격;대가물
variety	다양성, 변화
violate	위반하다
violation	위반, 위배
volatile	(가격 등이)심하게 변동하는
voluntarily	자발적으로
voucher	상품권, 인환권
wage	임금, 급료
wane	감소, 쇠퇴
warranty	보증, 보증서
widely	널리
