absolute	완전한, 완전무결한
hospitality	환대, 친절
illustrate	설명하다, 예증하다
impartially	공명정대하게, 치우치지 않게
imperative	반드시 해야 하는, 필수적인
impose	부과하다
impression	인상
impressive	굉장한, 인상적인
improve	개선하다, 향상시키다
in the red	적자 상태인
inaccurate	부정확한
inaugurate	정식으로 ~을 개시하다
incidental	부수적인
inconsistency	불일치
inconvenience	불편
incorrect	부정확한
increase	증가; 증가하다
increasingly	점점, 더욱 더
incur	(손실읍)입다, (빚을)지다
indication	징후, 조짐
indicative	나타내는, 암시하는
indigenous	지역 교유의, 토착의
indulge	탐닉하다, 빠지다
inevitable	불가피한
inflation	인플레이션, 물가상승, 통화팽창
infuriate	격분시키다, 화나게하다
infusion	주입, 혼합
initially	처음에, 초기에
innovative	혁신적인
inquire	질문하다
insert	삽입하다
inspect	~을 조사하다, 검사하다
inspiration	영감
international	국제적인
interpretation	해석, 설명
inventory	재고픔, 재고목록
invoice	송장, 인보이스
itinerary	여행 일정(표)
jet lag	시차증
keep track of	~을 계속 알고 있다, ~에 대해 끊임없이 정보를 얻어내다
launch	출시하다
laundry	세탁물
ledger	회계 장부
liability	책임;(-ties)부채, 채무
liable	책임져야 할; ~하기 쉬운
locate	찾아내다,~을 위치시키다
make	~을 하다, ~을 만들다
make up for	~을 만회하다, 보상하다
manufacturer	제조회사, 제조업자
markedly	현저하게, 눈에 띄게
material	재료, 물질
meagerly	빈약하게, 불충분하게
mediation	조정, 중재
minimally	극히 작게, 최소한으로
missing	행방 불명의, 사라진
mistakenly	잘못되게, 틀리게
moderator	(토론 등의) 사회자, 중재자
modify	일부 변경하다, 수정하다
monetary	금전의, 재정적인
narrow	좁히다
negotiation	교섭, 협상
notification	통지
oblige	~에게 강요하다, 할 수 없이 ~ 하게 하다
obsolete	시대에 뒤떨어진, 구식의
occupancy	이용률
ocontainer	그릇, 용기
offset	상쇄하다, 벌충하다
operate	작동하다, 움직이다
operational	작동하는, 작동 가능한
opposing	대립하는, 반대하는
order	주문하다
originally	원래, 처음에는
outlay	지출, 경비
overcome	극복하다
overhead	머리 위의
particularly	특히
patent	특허원, 특허품
patronize	~을 단골로 삼다, ~와 거래하다
percentage	백분율
perishable	부패하기 쉬운
place	~을 한 상태에 두다; (주문을)하다
polish	~을 닦다, ~의 윤을 내다
politely	예의 바르게
postage	우편 요금
power	전력, 전기
preamble	서론, 서문
precaution	예방조치, 예방책
precisely	정확히
preferred	우선의, 선호되는
prevent	~을 막다, ~을 예방하다
prior to	~이전에
proceed	(일이)행해지다, 진척되다
processing	처리, 가공
procurement	조달
produce	생산하다
production	생산, 생산량
profit	이익, 수익
projection	예상, 예상치
properly	제대로, 정확하게
proportion	부분, 몫
proposal	계획, 안
protective	보호하는
provide	공급하다, 제공하다
provision	(조약의)조항
proximity	가까움, 근접함
quality	품질, 질
quota	할당량, 할당
quote	견적액
rate	요금
rebate	환ㅂ루하다, 리베이트 하다
recent	최근의
recently	최근에
reception	환영회; 접수처
recipe	요리법, 조리법
recipient	수신자
reciprocal	상호의, 서로의
reduce	줄이다, 감소시키다
refuse	거절하다
regular	정기적인; 단골의
reimburse	변제하다, 상환하다
reliable	믿을 만한, 신뢰할 수 있는
remarkable	현저한, 두드러진
remittance	송금
renew	갱신하다
replace	~을 교체하다, 대체하다
represent	~을 대표하다
representative	판매 대리인, 세일즈맨; 대표자
research	연구, 조사
reservation	예약
respond	응답하다
retail	소매
retain	보유하다, 유지하다
retaliation	보복
return	반환하다, 반송하다
revenue	수입
review	검토하다, 재조사하다
revolutionary	혁명적인
rigid	엄격한, 완고한
rigorously	엄격히
round trip	왕복 여행
safety	안전
sale	(-s)매출액, 매상고; 재고 정리 판매
satisfaction	만족
satisfactory	만족스러운
seating	좌석 설비; 좌석배열
selection	선택된 것, 정선품
separately	개별적으로, 따로따로
seriously	진지하게
settle	해결하다, 처리하다
shipment	선적, 발송; 탁송화물
short	부족한
shortly	곧, 얼마 안 있어
significantly	상당히, 두드러지게
sleek	세련된
slightly	약간
solicit	요청하다, 간청하다
specific	구체적인, 명확한
specification	명세서, 설명서
spend	~을 쓰다, 소비하다
stage	단계
state-of-the-art	최신식의
step	단계, 수단
stipulation	계약조건
stir	휘젓다, 뒤섞다
stock	재고; 주식
streamline	능률적으로 하다, 합리화 하다
stringently	엄격히, 엄중하게
subject	~의 영향을 받기 쉬운;(동의 등을) 조건으로 하는;~에게 (~을) 받게하다
substantial	상당한
substantially	크게, 상당히
sufficiently	충분히
summarize	요약하다
superb	뛰어난, 최고의
superior	우수한, 상급의
supply	공급하다, 제공하다
surely	틀림없이, 꼭
surplus	잉여, 흑자
swap	맞바꾸다, 교환하다
taste	~의 맛을 보다, 시식하다
technical	기술적인
temporarily	일시적으로
tend	~하는 경향이 있다, ~ 하기 쉽다
term	조건; 임기, 기한
terminate	끝내다, 종결시키다
tolerance	관용
total	총계의, 전부의
touch down	착륙하다
tour	견학, 짧은 여행
turnover	총 매상고, 거래액; 이직률
unable	~할 수 없는
unavailable	구할 수 없는, 이용할 수 없는
unique	독특한
unlimited	무제한의
unusually	유난히, 비정상적으로
unwavering	확고한, 동요하지 않는
utensil	(부엌에서 쓰는)도구, 기구
utilize	이용하다, 활용하다
vulnerable	취약한
worth	~의 가치가 있는
